file,WER,S,D,I
MO_F_AV01_2016_04_08_ModuleDescription_description.wav,12.244898,20,0,10
MO_F_AV06_2016_04_13_ModuleDescription_description.wav,52.459016,15,11,6
MO_F_AV09_2016_04_15_ModuleDescription_description.wav,18.250951,30,10,8
MO_F_AV14_2016_04_18_ModuleDescription_description.wav,67.1875,31,3,9
MO_F_AV17_2016_04_18_ModuleDescription_description.wav,25.0,15,4,5
MO_F_AV21_2016_04_18_ModuleDescription_description.wav,27.142857,20,7,11
MO_F_AV23_2016_04_19_ModuleDescription_description.wav,28.205128,28,8,8
MO_F_AV25_2016_05_14_ModuleDescription_description.wav,10.569106,9,2,2
MO_F_AV26_2016_05_14_ModuleDescription_description.wav,12.5,15,3,3
MO_F_AV27_2016_05_14_ModuleDescription_description.wav,27.439024,32,7,6
MO_F_AV36_2016_06_07_ModuleDescription_description.wav,18.805093,108,19,65
MO_F_ER02_2016_04_04_ModuleDescription_description.wav,37.209302,11,5,0
MO_F_ER02_2016_06_08_ModuleDescription_description.wav,37.931034,7,3,1
MO_F_ER06_2016_04_06_ModuleDescription_description.wav,45.945946,15,2,0
MO_F_ER08_2016_04_07_ModuleDescription_description.wav,24.683544,30,8,1
MO_F_ER08_2016_06_08_ModuleDescription_description.wav,26.712329,31,6,2
MO_F_ER10_2016_04_07_ModuleDescription_description.wav,22.44898,22,12,10
MO_F_ER16_2016_04_08_ModuleDescription_description.wav,22.78481,9,3,6
MO_F_ER18_2016_04_08_ModuleDescription_description.wav,15.562914,28,3,16
MO_F_ER19_2016_04_10_ModuleDescription_description.wav,27.027027,14,3,3
MO_F_ER22_2016_04_12_ModuleDescription_description.wav,23.577236,15,9,5
MO_F_ER26_2016_04_18_ModuleDescription_description.wav,21.527778,18,6,7
MO_F_SD08_2016_04_22_ModuleDescription_description.wav,19.685039,15,6,4
MO_F_SD12_2016_04_25_ModuleDescription_description.wav,21.946903,79,10,35
MO_F_SD18_2016_05_02_ModuleDescription_description.wav,6.626506,8,1,2
MO_F_SD19_2016_05_02_ModuleDescription_description.wav,25.581395,11,3,8
MO_F_SD22_2016_05_03_ModuleDescription_description.wav,19.277108,10,2,4
MO_F_SD24_2016_05_03_ModuleDescription_description.wav,12.903226,8,4,12
MO_F_SD28_2016_05_20_ModuleDescription_description.wav,22.043011,24,15,2
MO_F_SD32_2016_06_16_ModuleDescription_description.wav,17.857143,16,2,12
MO_F_SD33_2016_06_22_ModuleDescription_description.wav,28.115942,89,36,69
MO_F_SD35_2016_06_23_ModuleDescription_description.wav,18.320611,30,11,7
MO_F_SD38_2016_06_28_ModuleDescription_description.wav,18.65285,21,8,7
MO_H_AV10_2016_04_15_ModuleDescription_description.wav,14.893617,10,1,3
MO_H_AV18_2016_04_18_ModuleDescription_description.wav,20.0,8,4,3
MO_H_AV19_2016_04_18_ModuleDescription_description.wav,43.055556,18,3,10
MO_H_AV22_2016_04_19_ModuleDescription_description.wav,15.03268,11,6,6
MO_H_AV22_2016_06_09_ModuleDescription_description.wav,20.704846,33,5,9
MO_H_AV24_2016_05_14_ModuleDescription_description.wav,7.058824,4,2,0
MO_H_AV30_2016_06_05_ModuleDescription_description.wav,23.584906,15,6,4
MO_H_AV33_2016_06_06_ModuleDescription_description.wav,21.212121,15,5,8
MO_H_AV37_2016_06_08_ModuleDescription_description.wav,19.090909,9,11,1
MO_H_AV38_2016_06_10_ModuleDescription_description.wav,29.333333,15,4,3
MO_H_ER09_2016_04_07_ModuleDescription_description.wav,22.047244,18,0,10
MO_H_ER09_2016_06_08_ModuleDescription_description.wav,11.71875,7,3,5
MO_H_ER17_2016_04_08_ModuleDescription_description.wav,16.883117,13,3,10
MO_H_ER23_2016_04_14_ModuleDescription_description.wav,26.54321,18,9,16
MO_H_ER24_2016_04_15_ModuleDescription_description.wav,32.5,28,7,17
MO_H_ER27_2016_04_18_ModuleDescription_description.wav,13.815789,11,4,6
MO_H_ER40_2017_01_24_ModuleDescription_description.wav,21.818182,5,3,4
MO_H_ER40_2017_05_23_ModuleDescription_description.wav,18.045113,11,4,9
MO_H_ER41_2017_01_24_ModuleDescription_description.wav,25.477707,28,9,3
MO_H_ER41_2017_05_29_ModuleDescription_description.wav,19.417476,12,2,6
MO_H_ER43_2017_01_24_ModuleDescription_description.wav,14.814815,12,2,2
MO_H_ER43_2017_05_23_ModuleDescription_description.wav,30.054645,33,14,8
MO_H_ER47_2017_01_27_ModuleDescription_description.wav,33.15508,35,17,10
MO_H_ER47_2017_03_31_ModuleDescription_description.wav,22.907489,25,8,19
MO_H_ER48_2017_01_28_ModuleDescription_description.wav,19.827586,11,5,7
MO_H_ER48_2017_04_08_ModuleDescription_description.wav,21.428571,12,3,9
MO_H_ER49_2017_01_28_ModuleDescription_description.wav,45.918367,24,4,17
MO_H_ER49_2017_06_08_ModuleDescription_description.wav,36.082474,18,7,10
MO_H_SD07_2016_04_22_ModuleDescription_description.wav,31.944444,13,6,4
MO_H_SD11_2016_04_25_ModuleDescription_description.wav,16.071429,20,3,13
MO_H_SD13_2016_04_25_ModuleDescription_description.wav,21.637427,24,5,45
MO_H_SD13_2016_08_13_ModuleDescription_description.wav,24.337349,32,6,63
MO_H_SD25_2016_05_12_ModuleDescription_description.wav,11.637931,15,4,8
MO_H_SD30_2016_05_21_ModuleDescription_description.wav,25.0,17,7,14
MO_H_SD36_2016_06_23_ModuleDescription_description.wav,12.587413,12,3,3
